track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
together as one,lucky dube,0.696,0.638,8,-6.442,1,0.0391,0.42,0.0,0.0672,0.789,143.686,not_hot,60FnGIRE3odaPdnvDqDutb,spotify:track:60FnGIRE3odaPdnvDqDutb,https://api.spotify.com/v1/tracks/60FnGIRE3odaPdnvDqDutb,https://api.spotify.com/v1/audio-analysis/60FnGIRE3odaPdnvDqDutb,239160,4
color of my bloody nose,possessed by paul james,0.539,0.468,2,-5.818,1,0.0352,0.864,0.0,0.144,0.338,131.529,not_hot,0MhhlloCsw3sdlh4kiJNDC,spotify:track:0MhhlloCsw3sdlh4kiJNDC,https://api.spotify.com/v1/tracks/0MhhlloCsw3sdlh4kiJNDC,https://api.spotify.com/v1/audio-analysis/0MhhlloCsw3sdlh4kiJNDC,291213,4
the loving gift,johnny cash,0.473,0.166,0,-15.448,1,0.0323,0.919,0.000542,0.255,0.324,77.805,not_hot,2mo1Nfgp4MV88f90tVkv2e,spotify:track:2mo1Nfgp4MV88f90tVkv2e,https://api.spotify.com/v1/tracks/2mo1Nfgp4MV88f90tVkv2e,https://api.spotify.com/v1/audio-analysis/2mo1Nfgp4MV88f90tVkv2e,134387,4
crucify me,bring me the horizon,0.343,0.909,8,-6.158,1,0.144,0.000448,0.00404,0.106,0.0402,102.514,not_hot,2WibHTdUH985Caq9y1RYAV,spotify:track:2WibHTdUH985Caq9y1RYAV,https://api.spotify.com/v1/tracks/2WibHTdUH985Caq9y1RYAV,https://api.spotify.com/v1/audio-analysis/2WibHTdUH985Caq9y1RYAV,379520,4
you and i,eddie rabbitt,0.377,0.326,5,-12.515,1,0.0292,0.249,0.000686,0.111,0.222,163.741,not_hot,7sWlOFUnQShNdxgk1B0TuW,spotify:track:7sWlOFUnQShNdxgk1B0TuW,https://api.spotify.com/v1/tracks/7sWlOFUnQShNdxgk1B0TuW,https://api.spotify.com/v1/audio-analysis/7sWlOFUnQShNdxgk1B0TuW,241040,4
he's so strange,the go-go's,0.554,0.852,7,-9.62,1,0.0447,0.0569,0.00314,0.282,0.726,153.844,not_hot,1rOt0s8yrvc7gmx0gIiuED,spotify:track:1rOt0s8yrvc7gmx0gIiuED,https://api.spotify.com/v1/tracks/1rOt0s8yrvc7gmx0gIiuED,https://api.spotify.com/v1/audio-analysis/1rOt0s8yrvc7gmx0gIiuED,178840,4
just for you,sam cooke,0.559,0.567,0,-8.255,1,0.0851,0.741,0.0,0.223,0.894,137.462,not_hot,3yMIZr12N3iOWP0AN8Tia9,spotify:track:3yMIZr12N3iOWP0AN8Tia9,https://api.spotify.com/v1/tracks/3yMIZr12N3iOWP0AN8Tia9,https://api.spotify.com/v1/audio-analysis/3yMIZr12N3iOWP0AN8Tia9,142107,4
heartbreaker,dionne warwick,0.671,0.514,1,-13.561,0,0.0239,0.0921,1.53e-05,0.137,0.803,100.771,not_hot,3iMLRCGHLQ135LtMjKLkO8,spotify:track:3iMLRCGHLQ135LtMjKLkO8,https://api.spotify.com/v1/tracks/3iMLRCGHLQ135LtMjKLkO8,https://api.spotify.com/v1/audio-analysis/3iMLRCGHLQ135LtMjKLkO8,258206,4
mistadobalina,del the funky homosapien,0.85,0.797,10,-7.429,0,0.136,0.0964,8.38e-06,0.34,0.63,99.615,not_hot,0KQd3QY1Y8zC2rfO4ZBQRC,spotify:track:0KQd3QY1Y8zC2rfO4ZBQRC,https://api.spotify.com/v1/tracks/0KQd3QY1Y8zC2rfO4ZBQRC,https://api.spotify.com/v1/audio-analysis/0KQd3QY1Y8zC2rfO4ZBQRC,260307,4
freeway,santana,0.428,0.633,5,-11.43,1,0.0396,0.328,0.814,0.256,0.319,127.952,not_hot,6WMLtnkcpMsmMz0gjaTBm4,spotify:track:6WMLtnkcpMsmMz0gjaTBm4,https://api.spotify.com/v1/tracks/6WMLtnkcpMsmMz0gjaTBm4,https://api.spotify.com/v1/audio-analysis/6WMLtnkcpMsmMz0gjaTBm4,1815107,4
